"ID","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p50"
56,93.55,94.3,96.52,104.18,106.61,110.53,111.56,112.09,107.9,104.39,102.96,102.74,103.89,104.05,105.04,100.37,93.68,97.89,99.39,100.54,103.33,101.44,98.77,95.97,93.08,88.36,84.93,84.66,81.13,77.79,73.92,70.21,69.77,71.54,78.52,75.78,75.47,76.53,74.8,75.54,57.1
57,101.1,96.62,96.8,98.83,108.29,111.28,113.67,117.8,121.55,124.02,127.49,129.65,130.24,133.37,135.29,138.77,142.27,146.33,149.18,151.78,151.3,151.35,154.83,153.56,158.25,161.38,165.49,168.8,172.05,176.23,180.53,184.4,186.68,187.76,186.88,188.39,192.04,193.86,197.87,201.86,218.36
58,100.43,97.53,94.7,97.29,97.98,97.06,94.5,94.41,91.34,87.23,84.21,82.36,83.48,84.63,84.41,84.63,84.51,85.07,86.69,83.21,84.37,86.24,88.23,90.55,89.12,87.42,87.83,84.63,86.66,92.37,92.9,94.99,95.11,101.22,98.43,97.8,94.4,91.58,87.72,88.88,77.72
59,89.61,84.9,82.68,80.44,77.67,74.71,70.88,68.18,66.84,64.62,63.03,60.88,60.36,61.09,61.69,61.38,60.63,60.5,54.35,52.71,52.14,60.27,60.07,56.35,55.42,52.79,51.58,48.47,48.57,47.62,56.2,53.93,52.3,52.97,51.59,52.67,52.27,53.43,49.44,48.65,71.04
60,104.36,104.73,106.78,110.48,114.45,116.97,114.63,115.34,116.04,117.21,119.64,121.19,124.46,125.89,130.22,129.44,125.94,124.59,126.4,127.21,129.01,132.01,135.93,134,129.67,126.52,123.05,119.08,118.63,118.64,121.73,126.41,126.08,124.03,120.24,119.99,120.77,121.16,120.65,121.06,113.02
61,89.25,89.74,91.51,91.57,88.58,90.81,92.48,93.11,87.99,83.07,79.06,80.52,76.88,78.86,81.53,85.07,87.53,87.84,91.07,93.22,94.64,94.72,96.47,98.27,98.41,94.15,90.23,86.5,83.03,75.7,76.5,80.7,83.35,83.22,79.22,78.68,78.44,76.16,73.4,70.57,54.25
62,102.06,103.43,106.59,109.12,111.72,112.06,115.14,118.46,123.12,124.28,120.28,117.81,114.3,111.72,101.86,101.38,102.6,103.04,104.07,103.25,105.69,106.31,110.12,112.1,113.68,115.71,115.58,115.4,116.1,117.02,116.92,117.93,118.2,114.55,112.63,114.73,121.39,117.62,115.07,112.1,105.92
63,105.42,105.75,107.59,108.28,106.65,105.66,106.79,106.48,107.67,104.29,100.06,98.25,94.98,91.29,87.26,83.67,80.87,79.57,76.62,73.57,71.45,71.84,71.01,70.55,71.35,70.62,70.48,69.66,70.06,73.65,77.7,79.68,78.86,79.46,82.13,80.94,72.94,74.37,76.58,79.16,76.22
64,97.83,97.76,98.02,97.34,89.61,85.7,82.53,82.35,84.08,87.63,95.97,93.27,90.38,88.55,82.65,79.46,76.01,73.96,72.52,69.41,66.75,66.13,67.32,65.54,67.68,62.92,63.66,60.41,58.72,57.99,54.77,48.41,45.56,41.77,37.43,37.85,41.79,41.82,42.35,43.53,50.46
65,97.88,99.69,98.23,99.43,99.91,102.64,106.28,105.54,107.04,110.38,113.73,114.65,116.56,118.41,121.11,123,119.71,117.2,115.24,114.78,112.37,113.12,116.65,120.2,122.25,126.61,129.03,131.64,132.68,136.18,135.77,132.07,133.75,134.22,136.12,139.06,142.7,145.57,148.56,152.6,158.99
66,95.54,91.57,88.04,87.54,83.55,80.83,77.67,74.64,71.71,70.38,67.11,65.09,63.42,63.33,60.97,61.62,63.39,68.48,66.62,67.29,62.48,58.59,56.83,57.89,59.05,60.7,58.89,57.77,61.63,62.91,62.48,64.68,67.72,74.92,74.4,72.83,72.54,73.92,68.35,67.01,52.5
67,106.42,107.29,110.94,114.74,121.92,119.89,119.1,120.6,123.98,122.82,126.14,129.12,133.18,135.6,136.98,138.48,140.47,142.32,145.36,149.16,152.31,153.83,157.77,160.97,165.38,167.48,171.21,174.02,176.29,179.2,182.81,185.61,188.63,190.46,190.88,192.78,195.02,194.89,195.75,199.45,180.39
68,97.55,101.35,100.51,100.18,94.1,88.08,90.58,91.27,89.87,90.11,88.85,90.97,93.06,95.67,98.98,102.59,105.37,104.33,99.91,100.3,105.07,107.59,110.93,113.24,116.01,114.1,111.19,108.14,110.1,112.2,113.9,115.04,117.77,120.88,121.55,120.4,116,119.11,120.23,123.76,119.8
69,102.55,105.65,108.98,113.61,115.04,112.17,108.79,105.9,102,98.7,96.16,93.37,86.27,88.08,92.81,94.72,95.84,98.56,101.91,102.65,106.67,113.31,110.71,112.55,112.58,113.32,116.61,121.57,124.61,134.76,131.4,128.21,123.13,126.36,130.01,134.83,135.98,131.7,129.93,127.24,135.48
70,105.58,108.39,112.04,118.95,117.24,111.86,112.71,116.93,117.63,117.75,119.01,120.41,119.81,121.7,124.47,129.02,129.26,131.31,131.29,126.95,124.64,121.74,119.7,116.71,115.09,112.09,109.5,108.33,105.37,105.64,103.69,101.34,94.23,96.87,100.85,103.8,106.27,107.42,109.52,112.14,116.8
71,98.33,100.71,105.68,108.05,112.62,112.89,114.14,111.37,110.56,111.35,109.25,107.35,103.5,102.15,99.13,97.99,96.41,94.86,92.69,89.42,81.36,82.52,82.93,84.25,85.2,86,83.52,78.25,80.13,77.68,75.93,79.17,82.27,86.31,88.76,92.3,95.41,99.55,100.13,108.79,93.46
72,104.11,104.82,103.58,103.85,105.07,107.79,111.51,114.93,115.68,116.71,116.72,119.23,120.76,122.03,125.51,126.15,126.6,126.7,124.58,124.08,117.09,116.29,116.19,114.13,114.04,108.31,111.92,110.99,114.34,118.88,119.95,119.82,121.96,124.34,132.03,130.4,121.3,122.76,124.71,128.17,147.73
73,98.47,100.6,102.46,105.61,105.27,104.63,107.02,110.34,113.71,115.58,116.6,115.55,112.2,111.96,113.89,118.19,121.16,124.3,126.18,123.88,123.2,125.92,127.05,132.38,129.86,129.87,130.05,129.06,126.25,122.17,118.24,114.93,110.62,107.7,106.78,106.55,105.69,102.69,98.4,95.82,78.95
74,94.77,91.61,88.97,89.91,89.87,89.66,90.69,93.74,91.67,95.14,100,103.36,106.47,108.56,110.68,113.28,116.28,117.41,118.06,120.28,121.98,125.83,130.76,133.19,135.63,138.75,143.35,143.17,143.96,144.57,141.53,140.89,141.25,143,142.56,138.3,134.17,137.39,139.33,141.21,161.58
75,105.43,103.28,100.06,97.33,90.67,92.78,95.46,101.45,101.43,103.46,106.12,109.2,109.54,109.73,105.9,107.57,104.61,100.93,102.24,101.31,96.83,91.73,89.05,87,83.6,79.94,76.9,77.25,76.69,77.9,75.75,67.63,68.97,70.76,74.05,74.15,71.31,71.63,69.68,66.75,49.77
76,102.89,102.51,103.22,109.15,106.28,105.38,98.42,99.84,103.01,104.03,105.54,99.18,102.72,106.11,107.34,105.68,102.17,99.53,99.05,96.36,96.9,98.74,96.76,93.17,92.35,90.61,90.56,87.85,86.24,88.59,91.62,91.67,88.79,91.65,89.74,87.88,85.16,84.8,82.04,86.79,109.92
77,107.08,107.09,110.84,112.99,116.89,118.77,121.84,123.65,125.7,125.94,125.19,119.62,118.48,119.29,119.05,119.11,117.11,118.51,115.9,113.21,109.9,107.55,105.45,102.45,99.89,97.13,94.09,90.38,88.51,90.06,90.98,90.83,89.9,95.18,92.15,89.68,87.45,89.59,91.8,98.09,94.22
78,98.22,94.44,90.64,89.3,87.16,87.34,87.94,84.43,84.83,83.88,80.01,78.24,74.22,73.41,71.9,71.79,73.52,73.39,76.31,78.88,81.25,83.13,84.75,86.08,88.24,84.25,80.7,82.1,77.8,73.7,71.57,68.99,65.31,59.91,57.41,53.37,54.12,49.64,47.16,40.35,37.18
79,96.42,92.82,89.87,86.99,86.54,86.87,88.28,90.23,92.43,94.5,95.38,98.02,100.31,102.21,104.47,106.61,109.01,111.51,113.01,112.52,111.71,114.99,112.86,110.52,108.61,109.92,117.26,114.16,110.68,109.54,110.35,111.76,108.25,109.27,111.89,113.32,116.83,120.39,119.27,121.28,107.8
80,97.34,94.12,90.78,91.74,91.92,85.22,87.12,89.95,91.93,95.91,97.47,100.36,100.58,94.77,92.55,88.36,86.73,88.07,86.62,83.43,77.47,74.22,72.84,71.67,70.94,68.11,68.61,71.13,70.59,74.52,70.76,71.57,70.61,72.13,78.42,84.32,81.79,77.38,74.28,73.89,63.95
81,107.23,100.32,103.88,103.64,101.02,100.12,97.01,95.72,96.5,97.59,98.13,98.72,102.96,105.49,110.22,110.97,107.89,104.72,103.64,101.08,102.73,101.51,105.27,108.46,109.89,110.28,109.01,108.46,105.22,100.06,95.91,94.26,92.43,87.67,84.86,81.99,79.98,76.8,72.45,70.49,80.69
82,97.12,99.87,101.6,103.46,105.75,109.92,106.3,104.02,101.05,99.08,99.29,98.13,99.83,98.8,101.96,104.96,109.24,108.66,113.18,115.05,119.25,121.66,121.43,118.08,113.41,110.38,106.48,101.17,97.27,92.38,95.73,95.37,94.99,90.97,88.15,86.17,84.47,84.31,84.65,82.94,91.9
